country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,corruption_perceptions,avg_happiness_score,annual_average,avg_annual_region,avg_annual,happiness_category
Afghanistan,2.9907666583333334,0.4288081186666667,0.2672441294444445,0.22684314555555554,0.06551328,0.1975428496666667,0.04063262388888889,2.9907666583333326,5.444338486093167,4.463861366407407,5.444338486093167,Not happy
Albania,4.893188891,1.0550906444444446,0.7479043512222221,0.7366454862222223,0.4302705028888889,0.16105118988888886,0.036707277888888896,4.893188891,5.444338486093167,5.589284174912879,5.444338486093167,Not happy
Algeria,5.40901111,1.0745189408888889,1.0607812275555555,0.6305225772222222,0.16590328966666668,0.08755685122222222,0.14240964044444443,5.409011110000001,5.444338486093167,5.268499088774629,5.444338486093167,Moderately happy
Angola,3.8722500190000004,0.7983795450000001,0.9383679899999999,0.13390216649999998,0.027432500000000012,0.10526912249999999,0.07157008375,3.872250019,5.3719637282579615,4.1615488540232795,5.3719637282579615,Not happy
Argentina,6.243522216777778,1.2141823435555557,1.277482759777778,0.7099167543333335,0.5127710612222223,0.08555083688888888,0.06843943855555555,6.2435222167777775,5.444338486093167,5.9905635228708,5.444338486093167,Happy
Armenia,4.740755522444444,0.9888810162222222,0.9112156237777778,0.662345744,0.3452465638888889,0.07835487000000002,0.09627251177777779,4.740755522444444,5.444338486093167,5.589284174912879,5.444338486093167,Not happy
Australia,7.227088855333333,1.504091263111111,1.3664642466666668,0.8555838307777779,0.6274549527777779,0.3551514292222222,0.3196511276666667,7.227088855333333,5.444338486093167,7.176058332472222,5.444338486093167,Happy
Austria,7.1702444428888885,1.5176658667777778,1.3184733208888886,0.8344813274444446,0.5978905631111111,0.2573902317777777,0.25372850044444445,7.1702444428888885,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Azerbaijan,5.206850046625,1.105186808375,1.0341704120000001,0.6162999791250001,0.43718257024999996,0.04397156925,0.21788558600000002,5.206850046625,5.4318256497959885,5.542058333140625,5.4318256497959885,Moderately happy
Bahrain,6.251477784444445,1.4883449458888889,1.1921826856666664,0.6823432674444444,0.5897574245555556,0.2163569108888889,0.17916215855555556,6.251477784444448,5.444338486093167,5.268499088774629,5.444338486093167,Happy
Bangladesh,4.688422190333333,0.6671265836666668,0.6341647024444445,0.567967949,0.5374963583333333,0.16628227433333334,0.15055264077777777,4.688422190333333,5.444338486093167,4.463861366407407,5.444338486093167,Not happy
Belarus,5.610612449125,1.141244007375,1.280238067,0.6794278546249999,0.30830576625,0.099993821125,0.18654890712500002,5.610612449125,5.4318256497959885,5.542058333140625,5.4318256497959885,Moderately happy
Belgium,6.885388879111111,1.4944259475555555,1.3043489206666665,0.8242503353333333,0.5294017936666667,0.162818833,0.22910524255555556,6.885388879111111,5.444338486093167,6.811899206957673,5.444338486093167,Happy
Belize,5.955999950333333,0.8637117719999999,0.9563225996666667,0.45996058866666667,0.5509397906666668,0.21995188033333335,0.09776369066666667,5.955999950333331,5.3707069119388855,6.0032348525,5.370706911938885,Moderately happy
Benin,4.307000016111111,0.5125522346666667,0.26875314222222224,0.26215257366666667,0.4355302962222222,0.17044654322222225,0.12708565433333333,4.307000016111111,5.444338486093167,4.298487007476782,5.444338486093167,Not happy
Bhutan,5.124800031200001,0.8235072777999999,1.2016873028,0.5397078584000001,0.4984675362,0.434698909,0.16548607799999998,5.124800031200001,5.3789902133756,4.5806571408000005,5.3789902133756,Moderately happy
Bolivia,5.757055544111111,0.8783647676666667,1.051907734,0.5254417682222221,0.5787719363333333,0.1574750887777778,0.06720892922222221,5.757055544111111,5.444338486093167,5.9905635228708,5.444338486093167,Moderately happy
